,Date,Ta (°C),Tm (°C),I3 (W/m2),I15 (W/m2),P (kW)
341,2012-03-20 15:54:00,20.9585,29.0545,0.0,0.0,0.0
342,2012-03-20 16:54:00,19.495166666666666,22.045666666666666,0.0,0.0,0.0
343,2012-03-20 17:56:00,17.0698,15.7364,0.0,0.0,0.0
344,2012-03-20 18:56:00,14.506666666666668,10.801666666666668,1.1283333333333334,1.0518333333333334,0.6519
345,2012-03-20 19:56:00,12.880166666666666,7.543333333333333,49.5595,52.13183333333333,36.940200000000004
346,2012-03-20 20:56:00,11.952666666666667,7.317333333333333,128.70200000000006,137.485,107.99048333333334
347,2012-03-20 21:56:00,11.591,8.820833333333333,346.189074074074,519.51,321.54088888888896
354,2012-03-21 04:56:00,11.561333333333332,9.201666666666666,611.6471666666669,711.8363333333333,555.4324999999997
355,2012-03-21 05:56:00,11.354,9.636333333333333,760.8449999999998,864.9118333333334,662.2886166666666
356,2012-03-21 06:56:00,12.450333333333333,11.168666666666667,834.8741666666666,923.1651666666666,715.5629500000001
357,2012-03-21 07:56:00,13.257833333333332,13.273333333333333,826.6888333333332,901.7476666666665,706.256066666667
358,2012-03-21 08:51:00,14.50875,17.06625,754.1226666666664,804.8448333333331,643.6843999999999
359,2012-03-21 09:51:00,16.0705,24.189666666666664,617.2238333333333,654.6203333333332,524.5210166666668
360,2012-03-21 10:51:00,17.252,27.964833333333335,428.1264999999999,445.7996666666667,352.3931166666666
